Продукт,Калорийность,Белки,Жиры,Углеводы
Абрикосовый джем,"209,5561 кКал","0,4589 г","0,0551 г","51,4907 г"
Варенье грушевое,"214,6 кКал","0,1 г","0,1 г","56,8 г"
Варенье из абрикосов по-венгерски,"241,5 кКал","0,3 г","0,04 г",64 г
Варенье из айвы,"221,8 кКал","0,1 г","0,1 г","58,7 г"
Варенье из арбузных корок,"219,9 кКал","0,2 г","0,03 г","58,4 г"
Варенье из барбариса,"203,7 кКал",0 г,0 г,"54,3 г"
Варенье из брусники,"160,8 кКал","0,4 г","0,3 г","41,9 г"
Варенье из брусники,"244,3 кКал","0,2 г","0,1 г","64,6 г"
Варенье из брусники и яблок,"247,1 кКал","0,2 г","0,1 г","65,4 г"
Варенье из брусники по-белорусски,"191,1 кКал","0,2 г","0,1 г","50,4 г"
Варенье из брусники с корицей и гвоздикой,"243,7 кКал","0,2 г","0,1 г","64,4 г"
Варенье из вишни без косточек,"219,4 кКал","0,3 г","0,07 г",58 г
Варенье из водяники,"217,8 кКал","0,06 г","0,05 г","57,9 г"
Варенье из голубики и малины,"229,1 кКал","0,2 г","0,1 г","60,5 г"
Варенье из жимолости,"218,2 кКал",0 г,0 г,"58,2 г"
Варенье из кишмиша,"295,9 кКал",0 г,0 г,"78,9 г"
Варенье из спелых абрикосов,"160,9 кКал","0,7 г","1,1 г","39,6 г"
Варенье из цедры,"174,3 кКал","0,4 г","0,04 г","45,9 г"
Джем грушевый,"211,7 кКал","0,2 г","0,2 г","55,9 г"
Джем из айвы,"222,8 кКал","0,2 г","0,1 г","58,9 г"
Джем из боярышника и яблок,"89,4 кКал","0,1 г","0,1 г","23,5 г"
Джем из черной бузины,189 кКал,0 г,0 г,"50,4 г"
Засахаренный кишмиш протертый,"257,1 кКал",0 г,0 г,"68,6 г"
Облепиховое варенье,"164,6 кКал","0,7 г","3,7 г","34,4 г"
Повидло из абрикосов,"241,5 кКал","0,3 г","0,04 г",64 г
Повидло из айвы,216 кКал,"0,3 г","0,2 г","56,8 г"
Повидло из боярышника,"167,8 кКал",0 г,0 г,"44,7 г"
Пюре из черной бузины,"170,1 кКал",0 г,0 г,"45,4 г"
